year,sexo,poblacion
2022,F,297999
2022,M,299367
2022,T,597366
2023,F,298917
2023,M,300029
2023,T,598946
2024,F,299915
2024,M,300759
2024,T,600674
2025,F,300937
2025,M,301411
2025,T,602348
2026,F,301916
2026,M,302014
2026,T,603930
2027,F,302864
2027,M,302589
2027,T,605453
2028,F,303772
2028,M,303146
2028,T,606918
2029,F,304656
2029,M,303678
2029,T,608334
2030,F,305525
2030,M,304198
2030,T,609723
2031,F,306381
2031,M,304727
2031,T,611108
2032,F,307231
2032,M,305261
2032,T,612492
2033,F,308072
2033,M,305806
2033,T,613878
2034,F,308910
2034,M,306340
2034,T,615250
2035,F,309738
2035,M,306905
2035,T,616643
2036,F,310567
2036,M,307456
2036,T,618023
2037,F,311381
2037,M,308026
2037,T,619407
2038,F,312180
2038,M,308591
2038,T,620771
2039,F,312965
2039,M,309138
2039,T,622103
2040,F,313700
2040,M,309670
2040,T,623370
