seccion_id,departamento_id,departamento_nombre,cue_anexo,establecimiento_nombre,localidad,nivel_id,nivel_nombre,grupo_edad_id,grupo_tasa_id,matricula_actual,matricula_varones_actual,matricula_mujeres_actual,capacidad,longitud,latitud,year_base
2024|FB|260000100|SEC|MANANA|1ER ANO/GRADO|1|CICLO BASICO/ EDUCACION SECUNDARIA BASICA|CICLO BASICO/ EDUCACION SECUNDARIA BASICA,26021,Escalante,260000100,FEDERICO BRANDSEN,COMODORO RIVADAVIA,SEC,Secundario,12_14,12_14,26,17,9,26,-67.5214993,-45.8704799,2024
2024|FB|260000100|SEC|MANANA|1ER ANO/GRADO|2|CICLO BASICO/ EDUCACION SECUNDARIA BASICA|CICLO BASICO/ EDUCACION SECUNDARIA BASICA,26021,Escalante,260000100,FEDERICO BRANDSEN,COMODORO RIVADAVIA,SEC,Secundario,12_14,12_14,25,16,9,26,-67.5214993,-45.8704799,2024
2024|FB|260000100|SEC|MANANA|1ER ANO/GRADO|3|CICLO BASICO/ EDUCACION SECUNDARIA BASICA|CICLO BASICO/ EDUCACION SECUNDARIA BASICA,26021,Escalante,260000100,FEDERICO BRANDSEN,COMODORO RIVADAVIA,SEC,Secundario,12_14,12_14,22,12,10,26,-67.5214993,-45.8704799,2024
2024|FB|260000100|SEC|MANANA|1ER ANO/GRADO|4|CICLO BASICO/ EDUCACION SECUNDARIA BASICA|CICLO BASICO/ EDUCACION SECUNDARIA BASICA,26021,Escalante,260000100,FEDERICO BRANDSEN,COMODORO RIVADAVIA,SEC,Secundario,12_14,12_14,24,13,11,26,-67.5214993,-45.8704799,2024
2024|FB|260000100|SEC|MANANA|2DO ANO/GRADO|1|CICLO BASICO/ EDUCACION SECUNDARIA BASICA|CICLO BASICO/ EDUCACION SECUNDARIA BASICA,26021,Escalante,260000100,FEDERICO BRANDSEN,COMODORO RIVADAVIA,SEC,Secundario,12_14,12_14,29,15,14,26,-67.5214993,-45.8704799,2024
2024|FB|260000100|SEC|MANANA|2DO ANO/GRADO|2|CICLO BASICO/ EDUCACION SECUNDARIA BASICA|CICLO BASICO/ EDUCACION SECUNDARIA BASICA,26021,Escalante,260000100,FEDERICO BRANDSEN,COMODORO RIVADAVIA,SEC,Secundario,12_14,12_14,30,14,16,26,-67.5214993,-45.8704799,2024
2024|FB|260000100|SEC|MANANA|2DO ANO/GRADO|3|CICLO BASICO/ EDUCACION SECUNDARIA BASICA|CICLO BASICO/ EDUCACION SECUNDARIA BASICA,26021,Escalante,260000100,FEDERICO BRANDSEN,COMODORO RIVADAVIA,SEC,Secundario,12_14,12_14,29,11,18,26,-67.5214993,-45.8704799,2024
2024|FB|260000100|SEC|MANANA|2DO ANO/GRADO|4|CICLO BASICO/ EDUCACION SECUNDARIA BASICA|CICLO BASICO/ EDUCACION SECUNDARIA BASICA,26021,Escalante,260000100,FEDERICO BRANDSEN,COMODORO RIVADAVIA,SEC,Secundario,12_14,12_14,29,10,19,26,-67.5214993,-45.8704799,2024
2024|FB|260000100|SEC|MANANA|3ER ANO/GRADO|1|CICLO BASICO/ EDUCACION SECUNDARIA BASICA|CICLO BASICO/ EDUCACION SECUNDARIA BASICA,26021,Escalante,260000100,FEDERICO BRANDSEN,COMODORO RIVADAVIA,SEC,Secundario,12_14,12_14,30,17,13,26,-67.5214993,-45.8704799,2024
2024|FB|260000100|SEC|MANANA|3ER ANO/GRADO|2|CICLO BASICO/ EDUCACION SECUNDARIA BASICA|CICLO BASICO/ EDUCACION SECUNDARIA BASICA,26021,Escalante,260000100,FEDERICO BRANDSEN,COMODORO RIVADAVIA,SEC,Secundario,12_14,12_14,31,17,14,26,-67.5214993,-45.8704799,2024
